1;MSSV;Ho Ten;Gioi Tinh;CMND;Lop
2;18424001;Nguyen Van A;Nam;111111111;18HCB
3;18424002;Nguyen Van B;Nam;222222222;18HCB
4;18424003;Nguyen Van C;Nam;333333333;18HCB
5;18424004;Nguyen Van D;Nam;444444444;18HCB
6;18424005;Nguyen Van F;Nam;555555555;18HCB
7;18424006;32131;w;23213321;18HCB
8;18424007;dfs;dsf;34;18HCB
9;18424008;3123;3213;32131;18HCB
10;18424009;fewfew;re;43432;18HCB
11;18424010;rtertr;tre;454;18HCB
12;18424011;wefew;as;12321;18HCB
13;18424012;dsdadas;Nu;21;18HCB
14;18424013;dsada;Nam;12;18HCB
15;18424014;212;Nam;12;18HCB
16;18424015;s;Nam;2;18HCB
17;18424016;;Nam;;18HCB
18;18424017;3123;3213;32131;18HCB
19;18424018;fewfew;re;43432;18HCB
20;18424019;rtertr;tre;454;18HCB
21;18424020;wefew;as;12321;18HCB
22;18424021;dsdadas;Nu;21;18HCB
23;18424022;dsada;Nam;12;18HCB
24;18424023;212;Nam;12;18HCB
25;18424024;s;Nam;2;18HCB
26;18424025;;Nam;;18HCB
27;18424026;rtertr;tre;454;18HCB
28;18424027;wefew;as;12321;18HCB
29;18424028;dsdadas;Nu;21;18HCB
30;18424029;dsada;Nam;12;18HCB
31;18424030;212;Nam;12;18HCB
32;18424031;s;Nam;2;18HCB
33;18424032;;Nam;;18HCB
34;18424033;La Van Woa;Nam;211111111;18HCB
1;MSSV;Ho Ten;Gioi Tinh;CMND;Lop
2;18424001;Nguyen Van A;Nam;111111111;18HCB
3;18424002;Nguyen Van B;Nam;222222222;18HCB
4;18424003;Nguyen Van C;Nam;333333333;18HCB
5;18424004;Nguyen Van D;Nam;444444444;18HCB
6;18424005;Nguyen Van F;Nam;555555555;18HCB
7;18424006;32131;w;23213321;18HCB
8;18424007;dfs;dsf;34;18HCB
9;18424008;3123;3213;32131;18HCB
10;18424009;fewfew;re;43432;18HCB
11;18424010;rtertr;tre;454;18HCB
12;18424011;wefew;as;12321;18HCB
13;18424012;dsdadas;Nu;21;18HCB
14;18424013;dsada;Nam;12;18HCB
15;18424014;212;Nam;12;18HCB
16;18424015;s;Nam;2;18HCB
17;18424016;;Nam;;18HCB
18;18424017;3123;3213;32131;18HCB
19;18424018;fewfew;re;43432;18HCB
20;18424019;rtertr;tre;454;18HCB
21;18424020;wefew;as;12321;18HCB
22;18424021;dsdadas;Nu;21;18HCB
23;18424022;dsada;Nam;12;18HCB
24;18424023;212;Nam;12;18HCB
25;18424024;s;Nam;2;18HCB
26;18424025;;Nam;;18HCB
27;18424026;rtertr;tre;454;18HCB
28;18424027;wefew;as;12321;18HCB
29;18424028;dsdadas;Nu;21;18HCB
30;18424029;dsada;Nam;12;18HCB
31;18424030;212;Nam;12;18HCB
32;18424031;s;Nam;2;18HCB
33;18424032;;Nam;;18HCB
34;18424033;La Van Woa;Nam;211111111;18HCB
