STT;MSSV;Họ Tên;Giới Tính;CMND;Lớp
1;17424008;Lê Văn Hai;Nam;111111111;17HCB
2;17424009;Nguyễn Thị An;Nữ;222222222;17HCB
3;17424010;Đào Anh Lộc;Nam;333333333;17HCB
4;17424011;Bùi Văn Vũ;Nam;444444444;17HCB
5;17424012;Huỳnh Anh;Nữ;555555555;17HCB
6;17424013;Vũ Huỳnh Như;Nữ;666666666;17HCB
7;17424014;Vũ Hùng Cướng;Nam;777777777;17HCB
8;17424015;Trần Thị Khánh;Nam;888888888;17HCB
9;17424017;Huỳnh Văn Thọ;Nam;999999999;17HCB
10;17424018;Văn Mai Thư;Nữ;123456789;17HCB
11;17424020;Bùi Thị Trúc Linh;Nữ;987654321;17HCB
12;17424021;Dương Văn An;Nam;143657834;17HCB
13;17424027;Nguyễn Tấn Tài;Nam;153209887;17HCB
14;17424031;Nguyễn Thị Ánh;Nữ;125639646;17HCB
